fulcrum_id,created_at,updated_at,created_by,updated_by,system_created_at,system_updated_at,version,change_type,status,project,assigned_to,latitude,longitude,geometry,changeset_id,location,date,processor,processor_other,survey_comments,gps_altitude,gps_horizontal_accuracy,gps_vertical_accuracy,gps_speed,gps_course
291b2139-9be1-4bd5-ba23-e3ef24b4a0b5,2022-06-08 16:43:48 UTC,2022-06-08 16:47:13 UTC,bdh64@pitt.edu,bdh64@pitt.edu,2022-06-08 22:24:08 UTC,2022-06-08 22:24:08 UTC,1,create,,,,41.62181751689406,-80.45458132384428,POINT (-80.45458132384428 41.62181751689406),9e2a28e7-55a3-4e56-aedc-0fd432c82fc9,,,,,,316.6429138183594,16.78641601269288,13.334174156188965,-1.0,-1.0
0e6540d6-c4a0-4165-90b7-21787eb32f0c,2022-06-08 20:35:56 UTC,2022-06-08 22:55:19 UTC,bdh64@pitt.edu,bdh64@pitt.edu,2022-06-08 22:55:48 UTC,2022-06-08 22:55:48 UTC,1,create,,,,41.6428732,-80.4275306,POINT (-80.4275306 41.6428732),72e21813-4a86-4369-a2b6-58df02492e86,RV Pond,2022-06-07,Brandon Hoenig,,,284.5,13.787,,,90.0
0e6540d6-c4a0-4165-90b7-21787eb32f0c,2022-06-08 20:35:56 UTC,2022-06-09 02:37:18 UTC,bdh64@pitt.edu,bdh64@pitt.edu,2022-06-08 22:55:48 UTC,2022-06-09 15:31:01 UTC,2,update,,,,41.6428732,-80.4275306,POINT (-80.4275306 41.6428732),bbef31b4-ed27-4130-a4d1-1844f2c0559a,RV Pond,2022-06-07,Brandon Hoenig,,App crashed and data was lost. Remaining data is validated. Some bd swabs are lost to unknown Metadata. ,284.5,13.787,,,90.0
bbc29661-86df-4567-9f26-1e6c9314eeac,2022-06-09 02:05:44 UTC,2022-06-09 14:31:21 UTC,bdh64@pitt.edu,bdh64@pitt.edu,2022-06-09 15:31:02 UTC,2022-06-09 15:31:02 UTC,1,create,,,,41.6914097,-80.4993114,POINT (-80.4993114 41.6914097),bbef31b4-ed27-4130-a4d1-1844f2c0559a,RV Pond,2022-06-08,Brandon Hoenig,,,284.0,35.777,,,50.68563
6f4b6963-3db7-4f99-9ba3-31687df5d589,2022-06-15 04:54:31 UTC,2022-06-16 03:42:32 UTC,bdh64@pitt.edu,bdh64@pitt.edu,2022-06-16 14:00:04 UTC,2022-06-16 14:00:04 UTC,1,create,,,,41.63866,-80.4947517,POINT (-80.4947517 41.63866),029bdfde-abd3-4e50-adaf-356da1672b2c,Tuttle Pond,2022-06-14,Emily Jolly,,,274.6999816894531,13.1,,,181.0
6c6c44e0-d829-4ebd-a93a-e4455911db4f,2022-06-16 03:42:45 UTC,2022-06-16 04:41:28 UTC,bdh64@pitt.edu,bdh64@pitt.edu,2022-06-16 14:00:05 UTC,2022-06-16 14:00:05 UTC,1,create,,,,41.6384917,-80.4941883,POINT (-80.4941883 41.6384917),029bdfde-abd3-4e50-adaf-356da1672b2c,Tuttle Pond,2022-06-15,Brandon Hoenig,,,275.5,11.8,,,0.0
35459c4d-084b-45e2-b535-bec961964109,2022-06-15 03:34:19 UTC,2022-06-16 14:00:14 UTC,bdh64@pitt.edu,bdh64@pitt.edu,2022-06-16 14:00:29 UTC,2022-06-16 14:00:29 UTC,1,create,,,,41.638495,-80.4947767,POINT (-80.4947767 41.638495),4ab8a759-ccce-469e-a910-74d002897e86,Tuttle Pond,2022-06-14,Brandon Hoenig,,,301.0,10.8,,,0.0
b82ef658-6da6-49f1-bc68-1db0d1a83705,2022-06-16 03:44:06 UTC,2022-06-16 04:03:30 UTC,bdh64@pitt.edu,bdh64@pitt.edu,2022-06-16 14:00:30 UTC,2022-06-16 14:00:30 UTC,1,create,,,,41.6386194,-80.4951636,POINT (-80.4951636 41.6386194),4ab8a759-ccce-469e-a910-74d002897e86,Tuttle Pond,2022-06-15,Emily Jolly,,,367.1,7.2,,,256.12454
126062c3-8e1c-4a2f-ac5e-c97484ac4dd5,2022-06-16 15:54:53 UTC,2022-06-16 15:59:03 UTC,bdh64@pitt.edu,bdh64@pitt.edu,2022-06-16 15:59:11 UTC,2022-06-16 15:59:11 UTC,1,create,,,,41.6428601,-80.4274537,POINT (-80.4274537 41.6428601),ba02d8d7-7637-450c-8eba-508a5ba53e9c,Tuttle Pond,2022-06-16,Emily Jolly,,,287.0,20.0,,,247.26527
35459c4d-084b-45e2-b535-bec961964109,2022-06-15 03:34:19 UTC,2022-06-22 13:18:47 UTC,bdh64@pitt.edu,bdh64@pitt.edu,2022-06-16 14:00:29 UTC,2022-06-22 18:18:56 UTC,2,update,,,,41.638495,-80.4947767,POINT (-80.4947767 41.638495),f80a9e9c-186b-422b-9926-518c1859885e,Tuttle Pond,2022-06-14,Brandon Hoenig,,,301.0,10.8,,,0.0
