fulcrum_id,created_at,updated_at,created_by,updated_by,system_created_at,system_updated_at,version,change_type,status,project,assigned_to,latitude,longitude,geometry,changeset_id,location,date,observers,other_observers,start_time,end_time,edna_water_collected,edna_volume_collected_l,humidity,pressure,elevation,wind_speed_ms,air_temperature_c,dissolved_oxygen,total_dissolved_solids,water_temperature_c,conductivity_us,ph,sampling_event_comments,gps_altitude,gps_horizontal_accuracy,gps_vertical_accuracy,gps_speed,gps_course
9de0293b-89af-481c-9b7c-1bcbe97ad7cc,2022-05-02 19:45:34 UTC,2022-05-02 19:49:15 UTC,bdh64@pitt.edu,bdh64@pitt.edu,2022-05-02 19:49:27 UTC,2022-05-02 19:49:27 UTC,1,create,,,,40.46536138755292,-79.95278952382488,POINT (-79.95278952382488 40.46536138755292),1a447ad5-ece6-44b9-883e-82ed2bf9f2ab,Admin Pond,2022-05-02,"Emily Jolly,Brandon Hoenig",,20:00,23:30,,,,,,,21,100,45,11,,,,226.0350456237793,35.0,17.322816848754883,-1.0,-1.0
9de0293b-89af-481c-9b7c-1bcbe97ad7cc,2022-05-02 19:45:34 UTC,2022-05-02 19:49:15 UTC,bdh64@pitt.edu,bdh64@pitt.edu,2022-05-02 19:49:27 UTC,2022-05-02 19:52:13 UTC,2,delete,,,,40.46536138755292,-79.95278952382488,POINT (-79.95278952382488 40.46536138755292),66052209-add4-49eb-b24a-1b90a0ddad0c,Admin Pond,2022-05-02,"Emily Jolly,Brandon Hoenig",,20:00,23:30,,,,,,,21,100,45,11,,,,226.0350456237793,35.0,17.322816848754883,-1.0,-1.0
b1e1e505-a930-418f-8424-b1c0a4614c56,2022-05-03 18:01:34 UTC,2022-05-03 18:04:45 UTC,bdh64@pitt.edu,bdh64@pitt.edu,2022-05-03 18:04:48 UTC,2022-05-03 18:04:48 UTC,1,create,,,,40.44610878817942,-79.95310567353388,POINT (-79.95310567353388 40.44610878817942),d363eb0f-5549-4e33-b4de-f460ae5d6480,Admin Pond,2022-05-03,"Brandon Hoenig,Emily Jolly",,14:01,14:01,,,,,,,,,,,,,,280.2606773376465,11.997154478102955,19.556081771850586,-1.0,-1.0
b1e1e505-a930-418f-8424-b1c0a4614c56,2022-05-03 18:01:34 UTC,2022-05-03 18:04:45 UTC,bdh64@pitt.edu,bdh64@pitt.edu,2022-05-03 18:04:48 UTC,2022-05-03 20:08:19 UTC,2,delete,,,,40.44610878817942,-79.95310567353388,POINT (-79.95310567353388 40.44610878817942),78be0590-ea73-43de-96c8-5bdc4ebd8ec0,Admin Pond,2022-05-03,"Brandon Hoenig,Emily Jolly",,14:01,14:01,,,,,,,,,,,,,,280.2606773376465,11.997154478102955,19.556081771850586,-1.0,-1.0
876d08b5-687e-48fa-8413-7b5e4d8999f6,2022-05-04 17:26:39 UTC,2022-05-04 17:31:50 UTC,bdh64@pitt.edu,bdh64@pitt.edu,2022-05-04 17:31:54 UTC,2022-05-04 17:31:54 UTC,1,create,,,,41.621938411778224,-80.45432696671853,POINT (-80.45432696671853 41.621938411778224),3ce59c5c-491d-4827-8ae7-9323063d09f6,Wood Lab Pond,2022-05-04,"Brandon Hoenig,Emily Jolly",,13:26,13:26,,,,,,,,,,,,,,311.1577835837379,5.100816116233459,2.793959910442855,0.0,-1.0
876d08b5-687e-48fa-8413-7b5e4d8999f6,2022-05-04 17:26:39 UTC,2022-05-04 17:31:50 UTC,bdh64@pitt.edu,bdh64@pitt.edu,2022-05-04 17:31:54 UTC,2022-05-04 17:34:04 UTC,2,delete,,,,41.621938411778224,-80.45432696671853,POINT (-80.45432696671853 41.621938411778224),af0ff4be-ec79-4355-bf84-0691fb8e9f18,Wood Lab Pond,2022-05-04,"Brandon Hoenig,Emily Jolly",,13:26,13:26,,,,,,,,,,,,,,311.1577835837379,5.100816116233459,2.793959910442855,0.0,-1.0
400af293-8185-47ac-876c-c43c54d393e1,2022-05-04 17:36:40 UTC,2022-05-04 17:39:16 UTC,bdh64@pitt.edu,bdh64@pitt.edu,2022-05-04 17:39:22 UTC,2022-05-04 17:39:22 UTC,1,create,,,,41.621972430968015,-80.45435338736549,POINT (-80.45435338736549 41.621972430968015),6c05be72-19fb-4af3-9235-53f4a9d00e33,Wood Lab Pond,2022-05-04,"Emily Jolly,Brandon Hoenig",,13:36,13:36,,,,,,,,,,,,,,310.01282439474016,5.131902749372576,2.736441339362317,0.39735647527844864,-1.0
6bec45d4-a09d-4e4f-9c90-2f184315aaf8,2022-05-04 17:39:50 UTC,2022-05-04 17:41:40 UTC,bdh64@pitt.edu,bdh64@pitt.edu,2022-05-04 17:41:45 UTC,2022-05-04 17:41:45 UTC,1,create,,,,41.62194890907308,-80.45433743577472,POINT (-80.45433743577472 41.62194890907308),f175e8e1-c943-4831-b4d3-94fdb59a6ae6,Wood Lab Pond,2022-05-04,"Brandon Hoenig,Emily Jolly",,13:39,13:39,,,,,,,,,,,,,,310.6183636849746,4.970959507232594,3.018956543284901,0.0,358.7563620960939
6bec45d4-a09d-4e4f-9c90-2f184315aaf8,2022-05-04 17:39:50 UTC,2022-05-04 17:41:40 UTC,bdh64@pitt.edu,bdh64@pitt.edu,2022-05-04 17:41:45 UTC,2022-05-04 17:45:54 UTC,2,delete,,,,41.62194890907308,-80.45433743577472,POINT (-80.45433743577472 41.62194890907308),68b74680-97cd-412d-a75c-632813119b3e,Wood Lab Pond,2022-05-04,"Brandon Hoenig,Emily Jolly",,13:39,13:39,,,,,,,,,,,,,,310.6183636849746,4.970959507232594,3.018956543284901,0.0,358.7563620960939
400af293-8185-47ac-876c-c43c54d393e1,2022-05-04 17:36:40 UTC,2022-05-04 17:39:16 UTC,bdh64@pitt.edu,bdh64@pitt.edu,2022-05-04 17:39:22 UTC,2022-05-04 17:45:59 UTC,2,delete,,,,41.621972430968015,-80.45435338736549,POINT (-80.45435338736549 41.621972430968015),4c29b5b9-cbbf-48bf-95dc-4ac5c2d49954,Wood Lab Pond,2022-05-04,"Emily Jolly,Brandon Hoenig",,13:36,13:36,,,,,,,,,,,,,,310.01282439474016,5.131902749372576,2.736441339362317,0.39735647527844864,-1.0
