"","fulcrum_id","observer","observer_other","date","location","start_time","end_time"
"1","8ef7dd22-e2d7-4452-b1c6-a928de38c95b","Brandon Hoenig",NA,2022-05-26,"Wood Lab Pond",20:52:00,20:55:00
"2","35f6ccd7-8a1a-4e7b-b275-30186f67c67c","Brandon Hoenig",NA,2022-05-27,"Wood Lab Pond",20:37:00,20:40:00
"3","814e9e84-a643-4d9b-8932-8883b1b89977","Brandon Hoenig",NA,2022-06-03,"Phelps Pond",20:44:00,20:47:00
"4","faba6935-0010-4b45-92e5-efdbd99ad514","Brandon Hoenig",NA,2022-06-08,"RV Pond",21:00:00,21:03:00
"5","8b34a76b-f7a4-499e-b25d-91f48d11570a","Brandon Hoenig",NA,2022-06-14,"Tuttle Pond",21:07:00,21:10:00
"6","fd7ac345-b879-4044-bb19-13b88e6123ef","Brandon Hoenig",NA,2022-06-15,"Tuttle Pond",21:29:00,21:32:00
"7","0fe89c3c-63de-4460-95dd-c638d9dd22ff","Emily Jolly",NA,2022-06-23,"Tryon-Weber",21:41:00,21:44:00
"8","7f9d7b67-87af-4ed8-8058-ef85b5c74b4d","Brandon Hoenig",NA,2022-06-27,"Vorisek Pond",22:07:00,22:10:00
"9","486b67fa-c0d5-4390-ba0d-512746cd865d","Brandon Hoenig",NA,2022-07-11,"RV Pond",21:34:00,21:37:00
"10","8ef7dd22-e2d7-4452-b1c6-a928de38c95b","Brandon Hoenig",NA,2022-05-26,"Wood Lab Pond",20:52:00,20:55:00
"11","35f6ccd7-8a1a-4e7b-b275-30186f67c67c","Brandon Hoenig",NA,2022-05-27,"Wood Lab Pond",20:37:00,20:40:00
"12","814e9e84-a643-4d9b-8932-8883b1b89977","Brandon Hoenig",NA,2022-06-03,"Phelps Pond",20:44:00,20:47:00
