"","fulcrum_id","location","date","processor","processor_other","survey_comments"
"1","291b2139-9be1-4bd5-ba23-e3ef24b4a0b5",NA,NA,NA,NA,NA
"2","0e6540d6-c4a0-4165-90b7-21787eb32f0c","RV Pond",2022-06-07,"Brandon Hoenig",NA,"App crashed and data was lost. Remaining data is validated. Some bd swabs are lost to unknown Metadata."
"3","bbc29661-86df-4567-9f26-1e6c9314eeac","RV Pond",2022-06-08,"Brandon Hoenig",NA,NA
"4","35459c4d-084b-45e2-b535-bec961964109","Tuttle Pond",2022-06-14,"Brandon Hoenig",NA,NA
"5","b82ef658-6da6-49f1-bc68-1db0d1a83705","Tuttle Pond",2022-06-15,"Emily Jolly",NA,NA
"6","126062c3-8e1c-4a2f-ac5e-c97484ac4dd5","Tuttle Pond",2022-06-16,"Emily Jolly",NA,NA
"7","6f4b6963-3db7-4f99-9ba3-31687df5d589","Tuttle Pond",2022-06-14,"Emily Jolly",NA,NA
"8","6c6c44e0-d829-4ebd-a93a-e4455911db4f","Tuttle Pond",2022-06-15,"Brandon Hoenig",NA,NA
"9","8d311105-b915-4fe3-840f-0297ab7003dd","Tryon-Weber",2022-06-22,"Brandon Hoenig",NA,NA
"10","dafc8d8c-039a-48a2-b340-b2e8f9bdf16d","Tryon-Weber",2022-06-23,"Emily Jolly",NA,NA
"11","c61de78b-232b-4de7-adc8-3498d141ea74","Tryon-Weber",2022-06-23,"Emily Jolly",NA,NA
"12","730e37fe-a68e-42b9-8aa8-97c47eceb579","Tryon-Weber",2022-06-23,"Brandon Hoenig",NA,NA
"13","d6bdf081-379b-4b0a-b37d-e15b8d183f95","Vorisek Pond",2022-06-27,"Brandon Hoenig",NA,NA
"14","7ab12e7b-4cbc-42cb-811e-dd478a1be99e","Vorisek Pond",2022-06-28,"Brandon Hoenig",NA,NA
"15","1f57feb3-7039-4a29-86ac-09f9b0baa008","RV Pond",2022-07-11,"Brandon Hoenig",NA,NA
"16","51e01469-2ddc-4231-904c-6e3a1fec5086","RV Pond",2022-07-12,"Brandon Hoenig",NA,NA
"17","6fe7e16b-008b-4e1a-9985-b452d3b22abc","Tuttle Pond",2022-07-18,"Brandon Hoenig",NA,NA
"18","b84e00e8-e544-4061-b16c-444f392adc16","Tuttle Pond",2022-07-19,NA,"Rachel Verdi",NA
