"","location","date","observers","other_observers","edna_water_collected","edna_volume_collected_l","humidity","pressure","elevation","wind_speed_ms","air_temperature_c","dissolved_oxygen","water_temperature_c","conductivity_us","ph","sampling_event_comments"
"1","Phelps Pond",2022-05-05,"Brandon Hoenig,Emily Jolly",NA,NA,NA,NA,NA,NA,0.3,13,NA,14.8,76.1,NA,NA
"2","Admin Pond",2022-05-11,"Brandon Hoenig,Emily Jolly",NA,NA,NA,NA,NA,NA,0.4,19.6,NA,20.5,29.3,NA,"pH 7.65"
"3","RV Pond",2022-05-12,"Brandon Hoenig,Emily Jolly",NA,NA,NA,NA,NA,NA,0.5,23.5,NA,24,76.6,6.44,NA
"4","Admin Pond",2022-05-19,"Brandon Hoenig,Emily Jolly",NA,NA,NA,NA,NA,NA,1,22.2,NA,19.5,42.1,6.95,NA
"5","Admin Pond",2022-05-18,"Brandon Hoenig,Cori Richards-Zawacki,Emily Jolly",NA,NA,NA,NA,NA,NA,0.5,12.1,NA,12.8,37.1,7.26,NA
"6","Wood Lab Pond",2022-05-04,"Brandon Hoenig,Emily Jolly",NA,NA,NA,NA,NA,NA,NA,12.8,NA,13,NA,NA,"Used multimeter for air temp.  Ph is 6.28"
"7","Admin Pond",2022-05-20,"Brandon Hoenig,Emily Jolly",NA,NA,NA,NA,NA,NA,2.2,19.4,NA,18.9,42.9,6.97,NA
"8","Wood Lab Pond",2022-05-26,"Brandon Hoenig,Emily Jolly,Shane Robertson",NA,NA,NA,NA,NA,NA,0,23.6,NA,19.2,32.2,5.79,NA
"9","Wood Lab Pond",2022-05-27,"Brandon Hoenig,Emily Jolly,Shane Robertson",NA,NA,NA,NA,NA,NA,0,17.3,NA,17.6,25.9,7.69,NA
"10","Wood Lab Pond",2022-05-28,"Brandon Hoenig,Emily Jolly,Shane Robertson",NA,NA,NA,NA,NA,NA,0.3,16.1,NA,15.8,24.9,7.27,NA
"11","Phelps Pond",2022-06-03,"Brandon Hoenig,Emily Jolly,Shane Robertson",NA,"yes",3,NA,NA,NA,0,20.3,NA,20.6,105.1,5.4,NA
"12","Phelps Pond",2022-06-04,"Brandon Hoenig,Emily Jolly,Shane Robertson",NA,"no",NA,NA,NA,NA,0,15.7,NA,19.1,107.5,6.14,NA
"13","Phelps Pond",2022-06-05,"Brandon Hoenig,Emily Jolly,Shane Robertson",NA,"no",NA,NA,NA,NA,0.6,16.9,NA,16.6,99.8,6.84,NA
"14","RV Pond",2022-06-08,"Brandon Hoenig,Emily Jolly,Sydney Dawson,Myah Madril",NA,"no",NA,NA,NA,NA,0,17.9,NA,20.9,101.8,6.35,NA
"15","RV Pond",2022-06-09,"Brandon Hoenig,Emily Jolly,Myah Madril,Sydney Dawson",NA,"no",NA,NA,NA,NA,1.7,14.2,NA,18,97.2,6.41,NA
"16","RV Pond",2022-06-07,"Brandon Hoenig,Emily Jolly,Myah Madril,Sydney Dawson",NA,"yes",1,NA,NA,NA,0,15.2,NA,19.1,105.5,6.06,NA
"17","Tuttle Pond",2022-06-14,"Brandon Hoenig,Emily Jolly,Myah Madril,Sydney Dawson",NA,"no",NA,NA,NA,NA,0,22.9,NA,23.3,110.5,6.06,NA
"18","Tuttle Pond",2022-06-15,"Brandon Hoenig,Emily Jolly,Myah Madril,Sydney Dawson",NA,"yes",NA,NA,NA,NA,0.3,26.3,NA,25.2,128,6.38,NA
"19","Tuttle Pond",2022-06-16,"Emily Jolly,Myah Madril,Sydney Dawson",NA,"no",NA,NA,NA,NA,0.3,25.2,NA,23.2,139.9,6.62,NA
"20","Tryon-Weber",2022-06-22,"Brandon Hoenig,Cori Richards-Zawacki,Emily Jolly,Myah Madril,Sydney Dawson",NA,"yes",NA,NA,NA,NA,0,24.1,NA,18.2,159.3,6.05,NA
