"","fulcrum_id","observer","observer_other","date","location","start_time","end_time"
"1","ab650c75-134c-4da1-8c84-3a0546637835","Brandon Hoenig",NA,2022-05-26,"Wood Lab Pond",20:57:00,21:17:00
"2","42d6e420-a94d-40fc-bd29-9f71a78c5314","Emily Jolly",NA,2022-05-26,"Wood Lab Pond",20:57:00,21:17:00
"3","7720af50-573c-4fb3-bbaf-8179c2f780fc","Emily Jolly",NA,2022-05-27,"Wood Lab Pond",20:43:00,NA
"4","b7141f5d-e059-4309-88ee-4b598ce67720","Brandon Hoenig",NA,2022-05-27,"Wood Lab Pond",20:43:00,20:56:00
"5","e8eee679-6518-480f-9395-980dd5e34496","Emily Jolly",NA,2022-05-28,"Wood Lab Pond",10:36:00,10:47:00
"6","b45745d8-50c3-4b19-86f9-6dcdbf09c933","Shane Robertson",NA,2022-05-26,"Wood Lab Pond",20:58:00,21:17:00
"7","c63b0e57-801f-4967-a001-22f449e7bb95","Brandon Hoenig",NA,2022-06-03,"Phelps Pond",20:59:00,21:25:00
"8","1004c317-9c0b-42f0-b25a-10fedccf40dd","Emily Jolly",NA,2022-06-03,"Phelps Pond",20:59:00,21:25:00
"9","4a93929d-c650-4c82-a8e2-87f10f5a4c90","Emily Jolly",NA,2022-06-14,"Tuttle Pond",21:18:00,21:38:00
"10","563a3f65-d811-4a26-91c3-a1cc7dbe6cf1","Brandon Hoenig",NA,2022-06-03,NA,20:57:00,21:26:00
"11","9789a72f-46e6-473a-819f-689ed0671987","Brandon Hoenig",NA,2022-06-14,"Tuttle Pond",21:15:00,21:35:00
"12","3872d47e-5ec8-41a4-b319-73fd789634ea","Brandon Hoenig",NA,2022-06-15,"Tuttle Pond",21:33:00,21:56:00
