"","fulcrum_id","created_at","fulcrum_parent_id","bag_id","species_capture","species_capture_other","capture_type","capture_type_other","capture_mark_recapture","life_stage","life_stage_other","sex","sex_other","snout_vent_length","body_and_bag_mass","bag_mass","body_mass","bd_swab_tube_id","bacterial_swab_tube_id","mucusome_id","amp_id_1","amp_id_2","amp_id_3","amp_id_4","antibody_id_1","antibody_id_2","antibody_id_3","antibody_id_4","toe_clip_tube_id","capture_comments"
"1","242c8ac8-7608-46fc-a4d3-694108e2812a","2022-06-08 20:36:04 UTC","0e6540d6-c4a0-4165-90b7-21787eb32f0c","BAG04","Rana catesbeiana",NA,"New",NA,"f4a2c8bb-c8b2-4a4f-b2dc-a1e52aad1eba","Adult",NA,"Female",NA,119.5,200,0,200,"BdSwab000067","BacSwab00067","MucBath00015","AMPBath00016","AMPBath00017","AMPBath00000","AMPBath00000","AntiBod00016","AntiBod00017",NA,NA,"ToeClip00014",NA
"2","bedb3db0-57f4-4a25-b192-4a7742037988","2022-06-08 20:39:00 UTC","0e6540d6-c4a0-4165-90b7-21787eb32f0c","BAG34","Rana catesbeiana",NA,"New",NA,"aadd5160-95f6-40e5-9f21-ebf1ecd2ee8d",NA,NA,NA,NA,NA,NA,NA,NA,"BdSwab000068","BacSwab00068","MucBath00016","AMPBath00018","AMPBath00019","AMPBath00000","AMPBath00000","AntiBod00018","AntiBod00019",NA,NA,"ToeClip00015",NA
"3","a87e476c-19ae-49bd-a731-5bfb275a475e","2022-06-08 20:40:57 UTC","0e6540d6-c4a0-4165-90b7-21787eb32f0c","BAG45","Rana catesbeiana",NA,"New",NA,"7596b49b-9cb9-4cfa-a576-d70769fba08f",NA,NA,NA,NA,NA,NA,NA,NA,"BdSwab000069","BacSwab00069","MucBath00017","AMPBath00020","AMPBath00021","AMPBath00000","AMPBath00000","AntiBod00020","AntiBod00021",NA,NA,NA,NA
"4","b92f5a53-0ccd-43a9-808f-befa59965f5f","2022-06-08 20:41:59 UTC","0e6540d6-c4a0-4165-90b7-21787eb32f0c","BAG22","Hyla versicolor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BdSwab000070","BacSwab00070","MucBath00018","AMPBath00022","AMPBath00000","AMPBath00000","AMPBath00000","AntiBod00022","AntiBod00000",NA,NA,"ToeClip00000",NA
"5","46afdb25-7145-465c-8da9-6e6bc08c0fe0","2022-06-08 20:44:08 UTC","0e6540d6-c4a0-4165-90b7-21787eb32f0c","BAG30","Hyla versicolor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BdSwab000071","BacSwab00071","MucBath00019","AMPBath00023","AMPBath00000","AMPBath00000","AMPBath00000","AntiBod00023","AntiBod00000",NA,NA,"ToeClip00000",NA
"6","62e4f853-6584-49c8-b915-2f7f04b43932","2022-06-08 20:46:07 UTC","0e6540d6-c4a0-4165-90b7-21787eb32f0c","BAG21","Hyla versicolor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BdSwab000072","BacSwab00072","MucBath00020","AMPBath00024","AMPBath00000","AMPBath00000","AMPBath00000","AntiBod00024","AntiBod00000",NA,NA,"ToeClip00000",NA
"7","bcb1e255-f01e-47be-a5e5-9065e94cbaaf","2022-06-08 20:48:32 UTC","0e6540d6-c4a0-4165-90b7-21787eb32f0c","BAG08","Rana clamitans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BdSwab000073","BacSwab00073","MucBath00021","AMPBath00026","AMPBath00000","AMPBath00000","AMPBath00000","AntiBod00026","AntiBod00000",NA,NA,"ToeClip00000",NA
"8","43f61e91-f8e0-40ad-81d1-017fee66e9ee","2022-06-08 20:49:51 UTC","0e6540d6-c4a0-4165-90b7-21787eb32f0c","BAG10","Rana clamitans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BdSwab000074","BacSwab00074","MucBath00022","AMPBath00027","AMPBath00000","AMPBath00000","AMPBath00000","AntiBod00027","AntiBod00000",NA,NA,"ToeClip00000",NA
"9","d6d75c65-0f41-437f-a3be-48daca1c3887","2022-06-08 21:09:04 UTC","0e6540d6-c4a0-4165-90b7-21787eb32f0c","BAG00","Negative Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MucBath00027",NA,"AMPBath00000","AMPBath00000","AMPBath00000",NA,"AntiBod00000",NA,NA,"ToeClip00000",NA
"10","1a482199-e531-4409-be3b-4c253ecdb755","2022-06-08 22:47:55 UTC","0e6540d6-c4a0-4165-90b7-21787eb32f0c","BAG00","Rana catesbeiana",NA,"New",NA,"18cf979a-b3fa-433c-94e3-1d5522b8f42d",NA,NA,NA,NA,NA,NA,NA,NA,"BdSwab000068","BacSwab00068","MucBath00016","AMPBath00018","AMPBath00019","AMPBath00000","AMPBath00000","AntiBod00018","AntiBod00019",NA,NA,"ToeClip00016",NA
