"","fulcrum_id","created_at","fulcrum_parent_id","bag_id","species_capture","species_capture_other","capture_type","capture_type_other","capture_mark_recapture","life_stage","life_stage_other","sex","sex_other","snout_vent_length","body_and_bag_mass","bag_mass","body_mass","bd_swab_tube_id","crispr_swab_tube_id","bacterial_swab_tube_id","mucusome_id","amp_id_1","amp_id_2","amp_id_3","amp_id_4","antibody_id_1","antibody_id_2","antibody_id_3","antibody_id_4","toe_clip_tube_id","capture_comments","time_of_capture","body_temperature","microhabitat_type","microhabitat_temperature"
"1","68475439-ba59-48ec-aa10-1b79e7912c0e","2022-05-05 03:30:50 UTC","4283096b-b956-4501-974c-3bd729831d91",NA,"Pseudacris crucifer",NA,"New",NA,NA,"Adult",NA,"Male",NA,29,7.6,6,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-05-04-wood-pscr1",22:50:00,10.9,"Leaf litter",10.9
"2","5841098e-d705-4fc3-a8ff-db12ef599788","2022-05-05 03:40:34 UTC","4283096b-b956-4501-974c-3bd729831d91",NA,"Rana catesbeiana",NA,"New",NA,NA,"Juvenile",NA,NA,"Juvenile",50.9,21.9,8.8,13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-05-04 wood racl #2",22:35:00,NA,"Water",13.5
"3","88b7d831-d803-42c1-8f94-804c1c9cdae2","2022-05-05 03:50:46 UTC","4283096b-b956-4501-974c-3bd729831d91",NA,"Pseudacris crucifer",NA,"New",NA,NA,"Adult",NA,"Male",NA,27.3,7.4,6,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-05-04 wood pscr #3",22:14:00,NA,"Tree/Log/Bush (Lower than 1m)",11.8
"4","49c45843-77b8-4557-a2e7-ff09fa88efbe","2022-05-05 04:03:25 UTC","4283096b-b956-4501-974c-3bd729831d91",NA,"Rana catesbeiana",NA,"New",NA,NA,"Juvenile",NA,NA,"juvenile",46.1,17.5,7.4,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-05-04 wood raca #4",10:08:00,NA,"Water",NA
"5","36ae0e88-b6e0-4d74-9f63-a63cd4341799","2022-05-05 04:09:20 UTC","4283096b-b956-4501-974c-3bd729831d91",NA,"Rana clamitans",NA,NA,NA,NA,"Juvenile",NA,NA,"juvenile",42.1,14.9,10,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-05-04 wood racl #5",21:35:00,NA,"Water",12.9
"6","4933a997-f8c6-4bd7-9c3a-29a4a28bfaa5","2022-05-06 03:11:57 UTC","81918035-8727-4979-ae70-dd9eb29b3676",NA,"Rana catesbeiana",NA,"New",NA,NA,"Adult",NA,"Female",NA,53.9,19.5,7.2,12.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-05-05 Phelps raca #1",22:09:00,NA,"Emergent Vegetation (Lower than 1m)",NA
"7","1c8965b5-0bf7-45c5-9cab-2f9a4d83584b","2022-05-06 03:20:19 UTC","81918035-8727-4979-ae70-dd9eb29b3676",NA,"Rana catesbeiana",NA,"New",NA,NA,"Adult",NA,"Female",NA,135.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-05-05 Phelps raca #15; probably greater than 100 grams, no scale available",08:49:00,16.8,"Water",16.8
"8","143297fb-eecd-4c0d-a6cd-8d202c394cf5","2022-05-06 03:28:19 UTC","81918035-8727-4979-ae70-dd9eb29b3676",NA,"Rana clamitans",NA,NA,NA,NA,"Adult",NA,"Female",NA,74.6,49.5,10,39.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-05-05 Phelps racl #2",21:53:00,NA,"Water",14
"9","e6f58b1b-ec12-44e8-96b7-fc7b0dd89f88","2022-05-06 03:34:08 UTC","81918035-8727-4979-ae70-dd9eb29b3676",NA,"Rana clamitans",NA,NA,NA,NA,"Adult",NA,"Female",NA,65.5,30,8.3,21.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-05-05 Phelps racl #3",21:41:00,NA,"Water",14.4
"10","4bac144c-bad4-420c-be16-8224d1deba01","2022-05-06 03:39:31 UTC","81918035-8727-4979-ae70-dd9eb29b3676",NA,"Rana clamitans",NA,NA,NA,NA,NA,NA,"Female",NA,53.8,19.5,7.3,12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-05-05 Phelps racl #4",21:37:00,NA,"Water",15.1
