"","X.x.x","fulcrum_id.x","created_at.x.x","observer","observer_other","date","location","start_time","end_time","survey_comments.x","X.y.x","fulcrum_id.y.x","created_at.y.x","species","bag_id","time_of_capture","body_temperature","microhabitat_type","microhabitat_temperature","bag_photo","X.x.y","fulcrum_id.y.y","created_at.x.y","processor","processor_other","survey_comments.y","X.y.y","fulcrum_id.y.y.y","created_at.y.y","species_capture","species_capture_other","capture_type","capture_type_other","capture_mark_recapture","life_stage","life_stage_other","sex","sex_other","snout_vent_length","body_and_bag_mass","bag_mass","body_mass","bd_swab_tube_id","bacterial_swab_tube_id","mucusome_id","amp_id_1","amp_id_2","amp_id_3","amp_id_4","antibody_id_1","antibody_id_2","antibody_id_3","antibody_id_4","toe_clip_tube_id"
"1",2,"8322e922-3871-46bf-a73c-2fc4985876ba","2022-05-19 19:31:25 EDT","Emily Jolly",NA,"2022-05-19","Admin Pond","19:31:00","22:59:00",NA,10,"b15bc6da-32aa-4f36-bc35-786d7faf1dba","2022-05-19 21:03:04 EDT",NA,"Bag02","21:03:00",19.2,"Water",18.8,"fc60daf4-a867-4dae-ae86-cc5243476639",22,"0f868ee9-f2cf-46f2-93c2-fdaa780b3bef","2022-05-20 00:55:56 UTC","Brandon Hoenig",NA,NA,517,"86746c0a-cb0f-470f-81c6-6b9d3375bacb","2022-05-20 06:14:47 UTC","Rana catesbeiana",NA,"Recapture",NA,"63928a8b-bc3f-43eb-912a-c0eaf88444d2",NA,NA,NA,NA,51.9,NA,NA,NA,"2022-05-19 admin raca#24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,"8322e922-3871-46bf-a73c-2fc4985876ba","2022-05-19 19:31:25 EDT","Emily Jolly",NA,"2022-05-19","Admin Pond","19:31:00","22:59:00",NA,34,"b15bc6da-32aa-4f36-bc35-786d7faf1dba","2022-05-19 21:03:04 EDT",NA,"Bag02","21:03:00",19.2,"Water",18.8,"fc60daf4-a867-4dae-ae86-cc5243476639",22,"0f868ee9-f2cf-46f2-93c2-fdaa780b3bef","2022-05-20 00:55:56 UTC","Brandon Hoenig",NA,NA,517,"86746c0a-cb0f-470f-81c6-6b9d3375bacb","2022-05-20 06:14:47 UTC","Rana catesbeiana",NA,"Recapture",NA,"63928a8b-bc3f-43eb-912a-c0eaf88444d2",NA,NA,NA,NA,51.9,NA,NA,NA,"2022-05-19 admin raca#24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",81,"8322e922-3871-46bf-a73c-2fc4985876ba","2022-05-19 23:31:25 UTC","Emily Jolly",NA,"2022-05-19","Admin Pond","19:31:00","22:59:00",NA,10,"b15bc6da-32aa-4f36-bc35-786d7faf1dba","2022-05-19 21:03:04 EDT",NA,"Bag02","21:03:00",19.2,"Water",18.8,"fc60daf4-a867-4dae-ae86-cc5243476639",22,"0f868ee9-f2cf-46f2-93c2-fdaa780b3bef","2022-05-20 00:55:56 UTC","Brandon Hoenig",NA,NA,517,"86746c0a-cb0f-470f-81c6-6b9d3375bacb","2022-05-20 06:14:47 UTC","Rana catesbeiana",NA,"Recapture",NA,"63928a8b-bc3f-43eb-912a-c0eaf88444d2",NA,NA,NA,NA,51.9,NA,NA,NA,"2022-05-19 admin raca#24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",81,"8322e922-3871-46bf-a73c-2fc4985876ba","2022-05-19 23:31:25 UTC","Emily Jolly",NA,"2022-05-19","Admin Pond","19:31:00","22:59:00",NA,34,"b15bc6da-32aa-4f36-bc35-786d7faf1dba","2022-05-19 21:03:04 EDT",NA,"Bag02","21:03:00",19.2,"Water",18.8,"fc60daf4-a867-4dae-ae86-cc5243476639",22,"0f868ee9-f2cf-46f2-93c2-fdaa780b3bef","2022-05-20 00:55:56 UTC","Brandon Hoenig",NA,NA,517,"86746c0a-cb0f-470f-81c6-6b9d3375bacb","2022-05-20 06:14:47 UTC","Rana catesbeiana",NA,"Recapture",NA,"63928a8b-bc3f-43eb-912a-c0eaf88444d2",NA,NA,NA,NA,51.9,NA,NA,NA,"2022-05-19 admin raca#24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",3,"a71aec87-0564-48a0-bd5b-daa7b4564ed5","2022-05-19 21:08:19 EDT","Brandon Hoenig",NA,"2022-05-19","Admin Pond","20:59:00","22:59:00",NA,1,"5211a4c3-3834-4452-8064-4b70f9413caf","2022-05-19 21:08:36 EDT",NA,"Bag30","21:08:00",18.2,"Emergent Vegetation (Lower than 1m)",18.4,"f2f3dd03-71a2-448e-91bb-8c42ec59c4c1",22,"0f868ee9-f2cf-46f2-93c2-fdaa780b3bef","2022-05-20 00:55:56 UTC","Brandon Hoenig",NA,NA,499,"a9dd0be9-0257-4bf8-bf04-6b588ebf1c27","2022-05-20 03:45:14 UTC","Pseudacris crucifer",NA,"New",NA,"1a7147a3-ba34-4098-b308-aba3ae980dbf","Adult",NA,"Male",NA,27.1,3.9,2.9,1,"2022-05-19-admin-pscr6","2022-05-19-admin-pscr6","2022-05-19-admin-pscr6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",3,"a71aec87-0564-48a0-bd5b-daa7b4564ed5","2022-05-19 21:08:19 EDT","Brandon Hoenig",NA,"2022-05-19","Admin Pond","20:59:00","22:59:00",NA,55,"5211a4c3-3834-4452-8064-4b70f9413caf","2022-05-19 21:08:36 EDT",NA,"Bag30","21:08:00",18.2,"Emergent Vegetation (Lower than 1m)",18.4,"f2f3dd03-71a2-448e-91bb-8c42ec59c4c1",22,"0f868ee9-f2cf-46f2-93c2-fdaa780b3bef","2022-05-20 00:55:56 UTC","Brandon Hoenig",NA,NA,499,"a9dd0be9-0257-4bf8-bf04-6b588ebf1c27","2022-05-20 03:45:14 UTC","Pseudacris crucifer",NA,"New",NA,"1a7147a3-ba34-4098-b308-aba3ae980dbf","Adult",NA,"Male",NA,27.1,3.9,2.9,1,"2022-05-19-admin-pscr6","2022-05-19-admin-pscr6","2022-05-19-admin-pscr6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",82,"a71aec87-0564-48a0-bd5b-daa7b4564ed5","2022-05-20 01:08:19 UTC","Brandon Hoenig",NA,"2022-05-19","Admin Pond","20:59:00","22:59:00",NA,1,"5211a4c3-3834-4452-8064-4b70f9413caf","2022-05-19 21:08:36 EDT",NA,"Bag30","21:08:00",18.2,"Emergent Vegetation (Lower than 1m)",18.4,"f2f3dd03-71a2-448e-91bb-8c42ec59c4c1",22,"0f868ee9-f2cf-46f2-93c2-fdaa780b3bef","2022-05-20 00:55:56 UTC","Brandon Hoenig",NA,NA,499,"a9dd0be9-0257-4bf8-bf04-6b588ebf1c27","2022-05-20 03:45:14 UTC","Pseudacris crucifer",NA,"New",NA,"1a7147a3-ba34-4098-b308-aba3ae980dbf","Adult",NA,"Male",NA,27.1,3.9,2.9,1,"2022-05-19-admin-pscr6","2022-05-19-admin-pscr6","2022-05-19-admin-pscr6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",82,"a71aec87-0564-48a0-bd5b-daa7b4564ed5","2022-05-20 01:08:19 UTC","Brandon Hoenig",NA,"2022-05-19","Admin Pond","20:59:00","22:59:00",NA,55,"5211a4c3-3834-4452-8064-4b70f9413caf","2022-05-19 21:08:36 EDT",NA,"Bag30","21:08:00",18.2,"Emergent Vegetation (Lower than 1m)",18.4,"f2f3dd03-71a2-448e-91bb-8c42ec59c4c1",22,"0f868ee9-f2cf-46f2-93c2-fdaa780b3bef","2022-05-20 00:55:56 UTC","Brandon Hoenig",NA,NA,499,"a9dd0be9-0257-4bf8-bf04-6b588ebf1c27","2022-05-20 03:45:14 UTC","Pseudacris crucifer",NA,"New",NA,"1a7147a3-ba34-4098-b308-aba3ae980dbf","Adult",NA,"Male",NA,27.1,3.9,2.9,1,"2022-05-19-admin-pscr6","2022-05-19-admin-pscr6","2022-05-19-admin-pscr6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2,"8322e922-3871-46bf-a73c-2fc4985876ba","2022-05-19 19:31:25 EDT","Emily Jolly",NA,"2022-05-19","Admin Pond","19:31:00","22:59:00",NA,11,"3c08cbb3-c284-4bb3-a304-823d04af0a6e","2022-05-19 21:09:18 EDT",NA,"Bag01","21:09:00",18.3,"Tree/Log/Bush (Lower than 1m)",17.5,"67a45464-e3d2-4e15-b70e-716dda775401",22,"0f868ee9-f2cf-46f2-93c2-fdaa780b3bef","2022-05-20 00:55:56 UTC","Brandon Hoenig",NA,NA,520,"db8b8aac-05f5-405b-8171-1084f997bdd5","2022-05-20 06:22:14 UTC","Rana pipiens",NA,"Recapture",NA,"0e5ae94d-5bd1-48b2-abd4-cce9c2d9e342",NA,NA,NA,NA,73.5,NA,NA,NA,"2022-05-19 admin rapi#27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2,"8322e922-3871-46bf-a73c-2fc4985876ba","2022-05-19 19:31:25 EDT","Emily Jolly",NA,"2022-05-19","Admin Pond","19:31:00","22:59:00",NA,35,"3c08cbb3-c284-4bb3-a304-823d04af0a6e","2022-05-19 21:09:18 EDT",NA,"Bag01","21:09:00",18.3,"Tree/Log/Bush (Lower than 1m)",17.5,"67a45464-e3d2-4e15-b70e-716dda775401",22,"0f868ee9-f2cf-46f2-93c2-fdaa780b3bef","2022-05-20 00:55:56 UTC","Brandon Hoenig",NA,NA,520,"db8b8aac-05f5-405b-8171-1084f997bdd5","2022-05-20 06:22:14 UTC","Rana pipiens",NA,"Recapture",NA,"0e5ae94d-5bd1-48b2-abd4-cce9c2d9e342",NA,NA,NA,NA,73.5,NA,NA,NA,"2022-05-19 admin rapi#27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
