"","X","fulcrum_id","created_at","fulcrum_parent_id","bag_id","time_of_capture","body_temperature","microhabitat_type","microhabitat_temperature","bag_photo","species"
"1",1,"5211a4c3-3834-4452-8064-4b70f9413caf","2022-05-20 01:08:36 UTC","a71aec87-0564-48a0-bd5b-daa7b4564ed5","Bag30","21:08:00",18.2,"Emergent Vegetation (Lower than 1m)",18.4,"f2f3dd03-71a2-448e-91bb-8c42ec59c4c1",NA
"2",2,"26fee85c-d4c1-489e-80bd-400907e9534b","2022-05-20 01:11:30 UTC","a71aec87-0564-48a0-bd5b-daa7b4564ed5","Bag29","21:11:00",18.2,"Emergent Vegetation (Lower than 1m)",18.2,"e22e0c34-ac7c-4027-a950-4ad84d8a217d",NA
"3",3,"e24f8aa0-ef58-4e14-ad56-c5122d76c3f9","2022-05-20 01:18:15 UTC","a71aec87-0564-48a0-bd5b-daa7b4564ed5","Bag16","21:18:00",18.2,"Tree/Log/Bush (Lower than 1m)",18.2,"16553888-75b0-452d-bf38-885f34809111",NA
"4",4,"a0a8a4d1-ee01-43f3-a5ba-bc0c37fb1931","2022-05-20 01:34:21 UTC","a71aec87-0564-48a0-bd5b-daa7b4564ed5","Bag28","21:34:00",19.4,"Water",19.7,"5e3d058b-9aed-4204-90c0-5f7571358273",NA
"5",5,"41a9ff8f-9446-4186-8994-874029a00563","2022-05-20 01:43:31 UTC","a71aec87-0564-48a0-bd5b-daa7b4564ed5","Bag27","21:43:00",20.1,"Water",20.4,"1f66b20b-3b9a-47e7-b60a-e5e06fa6ee35",NA
"6",6,"62d9d770-0bb5-4e48-8bae-b86c42d47e44","2022-05-20 01:47:21 UTC","a71aec87-0564-48a0-bd5b-daa7b4564ed5","Bag06","21:47:00",18.6,"Wet ground",18.8,"2d6d1f37-af35-430b-bc14-0ce262d44f04",NA
"7",7,"c13932b5-3ad9-4e60-8ae5-ef7806d0292f","2022-05-20 02:20:04 UTC","a71aec87-0564-48a0-bd5b-daa7b4564ed5","Bag18","22:20:00",19.4,"Water",19.6,"c30e398e-e9e5-48ee-a3c9-df9117df7392",NA
"8",8,"a4b82347-03be-4db8-bdcb-20fa412048c5","2022-05-20 02:40:52 UTC","a71aec87-0564-48a0-bd5b-daa7b4564ed5","Bag19","22:40:00",19.4,"Water",19.7,"6daf3070-03b7-4593-af5e-07f9f6bb00de",NA
"9",9,"238e379f-ab25-4539-9e29-23c1803035f7","2022-05-20 02:57:53 UTC","a71aec87-0564-48a0-bd5b-daa7b4564ed5","Bag17","22:57:00",18.4,"Water",18.6,"8987abb6-ea9b-4d42-b33c-60e76136dfc6",NA
"10",10,"b15bc6da-32aa-4f36-bc35-786d7faf1dba","2022-05-20 01:03:04 UTC","8322e922-3871-46bf-a73c-2fc4985876ba","Bag02","21:03:00",19.2,"Water",18.8,"fc60daf4-a867-4dae-ae86-cc5243476639",NA
"11",11,"3c08cbb3-c284-4bb3-a304-823d04af0a6e","2022-05-20 01:09:18 UTC","8322e922-3871-46bf-a73c-2fc4985876ba","Bag01","21:09:00",18.3,"Tree/Log/Bush (Lower than 1m)",17.5,"67a45464-e3d2-4e15-b70e-716dda775401",NA
"12",12,"125258d2-62db-489a-b4f9-3b36698d3404","2022-05-20 01:12:42 UTC","8322e922-3871-46bf-a73c-2fc4985876ba","Bag04","21:12:00",18,"Water",17.9,"68778835-4137-4a3a-8300-3fdcfbca25a7",NA
"13",13,"2a4da878-de3a-410f-b518-0b936bc98a54","2022-05-20 01:17:14 UTC","8322e922-3871-46bf-a73c-2fc4985876ba","Bag07","21:17:00",18.2,"Water",18.2,"749377f6-be1b-41b1-855f-17048f501de4",NA
"14",14,"70f2f7d5-d0a0-42c8-b3f3-87251b50c5aa","2022-05-20 01:21:05 UTC","8322e922-3871-46bf-a73c-2fc4985876ba","Bag10","21:21:00",18.2,"Water",18.3,"aa20fbe1-d1d2-4a84-a8cb-921132a752d0",NA
"15",15,"47d44b03-88c2-4204-86c3-def426b50633","2022-05-20 01:25:48 UTC","8322e922-3871-46bf-a73c-2fc4985876ba","Bag08","21:25:00",18.1,"Water",18,"c01ce459-70f0-42ce-8202-034604010ce0",NA
"16",16,"492083bf-770d-4ada-85d7-9da13a21d361","2022-05-20 01:28:59 UTC","8322e922-3871-46bf-a73c-2fc4985876ba","Bag05","21:28:00",18.3,"Water",18.3,"3d702528-f451-4c1d-88e5-2f8c87a918ac",NA
"17",17,"7fce6149-2af8-4bc2-8efc-e02bf4b7f0e8","2022-05-20 01:32:07 UTC","8322e922-3871-46bf-a73c-2fc4985876ba","Bag09","21:32:00",17.8,"Water",18,"f955b55c-6c9f-4eb5-a39d-01cd8d077064",NA
"18",18,"2d0823da-ff06-4ce6-b66c-0d8259e806fd","2022-05-20 01:37:02 UTC","8322e922-3871-46bf-a73c-2fc4985876ba","Bag15","21:37:00",17.6,"Water",17.8,"462bb5df-49ec-4f8f-b71b-018ae889990f",NA
"19",19,"89731d0e-02c0-457f-8861-dfa90a3914b6","2022-05-20 01:40:24 UTC","8322e922-3871-46bf-a73c-2fc4985876ba","Bag21","21:40:00",17.5,"Leaf litter",17.5,"8133ece0-929d-492c-b59e-ac1a2355249d",NA
"20",20,"8ced5f6b-298e-4629-8a31-a2d8fa3612ac","2022-05-20 01:45:28 UTC","8322e922-3871-46bf-a73c-2fc4985876ba","Bag22","21:45:00",17.7,"Water",17.8,"f138bbc6-2cc3-42e1-93c4-b6cd184421e4",NA
"21",21,"3eaf48b5-1e48-46e3-b22d-1976ff580cfe","2022-05-20 01:48:00 UTC","8322e922-3871-46bf-a73c-2fc4985876ba","Bag23","21:48:00",17.9,"Water",18.1,"9bd35ea5-5f93-434e-95d3-fedb4b2de9af",NA
"22",22,"d558ad5e-9fde-4f34-8915-b02622fcd442","2022-05-20 01:52:32 UTC","8322e922-3871-46bf-a73c-2fc4985876ba","Bag24","21:52:00",18.2,"Water",18.3,"38e098c0-83bc-42ea-a36e-bc6ca0483635",NA
"23",23,"58747ee2-ee85-4244-9c3a-573a226aac86","2022-05-20 01:55:01 UTC","8322e922-3871-46bf-a73c-2fc4985876ba","Bag25","21:55:00",18.2,"Water",18.3,"d450b197-3752-4f8b-8026-3aca8cb36265",NA
"24",24,"7928e204-2d85-4f37-a7b2-da2caca2807e","2022-05-20 02:03:27 UTC","8322e922-3871-46bf-a73c-2fc4985876ba","Bag26","22:03:00",18.4,"Water",18.5,"0f46e8b4-5a64-4e70-8232-e9647f779f4b",NA
"25",25,"3b989a29-8ab1-4a2a-9da6-127ad507d60b","2022-05-20 02:21:49 UTC","8322e922-3871-46bf-a73c-2fc4985876ba","Bag13","22:21:00",17.9,"Emergent Vegetation (Higher than 1m)",18.2,"de81c5b4-c9bf-4a1a-ae55-15c4db82d6cd",NA
"26",26,"3cb47eb5-926b-403c-b381-2b2a7e69cdda","2022-05-20 02:24:59 UTC","8322e922-3871-46bf-a73c-2fc4985876ba","Bag12","22:24:00",18.2,"Water",18.3,"8d509db0-4b45-48d4-a664-943d4afed5ff",NA
"27",27,"386dc799-c3b5-49b8-ad91-3d4b481fd66a","2022-05-20 02:31:10 UTC","8322e922-3871-46bf-a73c-2fc4985876ba","Bag03","22:31:00",18.1,"Water",18.5,"9cde3f6c-e658-4ff4-be0e-7656848fa7f3",NA
