"","X","location","created_at","date","observers","other_observers","edna_water_collected","edna_volume_collected_l","humidity","pressure","elevation","wind_speed_ms","air_temperature_c","dissolved_oxygen","water_temperature_c","conductivity_us","ph","sampling_event_comments","fulcrum_id"
"1",1,"Phelps Pond","2022-05-05 20:32:22 EDT","2022-05-05","Brandon Hoenig,Emily Jolly",NA,NA,NA,NA,NA,NA,0.3,13,NA,14.8,76.1,NA,NA,NA
"2",2,"Admin Pond","2022-05-11 20:40:09 EDT","2022-05-11","Brandon Hoenig,Emily Jolly",NA,NA,NA,NA,NA,NA,0.4,19.6,NA,20.5,29.3,NA,"pH 7.65",NA
"3",3,"RV Pond","2022-05-12 20:26:02 EDT","2022-05-12","Brandon Hoenig,Emily Jolly",NA,NA,NA,NA,NA,NA,0.5,23.5,NA,24,76.6,6.44,NA,NA
"4",4,"Admin Pond","2022-05-19 20:55:56 EDT","2022-05-19","Brandon Hoenig,Emily Jolly",NA,NA,NA,NA,NA,NA,1,22.2,NA,19.5,42.1,6.95,NA,NA
"5",5,"Admin Pond","2022-05-18 20:20:30 EDT","2022-05-18","Brandon Hoenig,Cori Richards-Zawacki,Emily Jolly",NA,NA,NA,NA,NA,NA,0.5,12.1,NA,12.8,37.1,7.26,NA,NA
"6",6,"Wood Lab Pond","2022-05-04 20:51:40 EDT","2022-05-04","Brandon Hoenig,Emily Jolly",NA,NA,NA,NA,NA,NA,NA,12.8,NA,13,NA,NA,"Used multimeter for air temp.  Ph is 6.28",NA
"7",7,"Admin Pond","2022-05-20 13:22:56 EDT","2022-05-20","Brandon Hoenig,Emily Jolly",NA,NA,NA,NA,NA,NA,2.2,19.4,NA,18.9,42.9,6.97,NA,NA
"8",8,"Wood Lab Pond","2022-05-26 20:31:47 EDT","2022-05-26","Brandon Hoenig,Emily Jolly,Shane Robertson",NA,NA,NA,NA,NA,NA,0,23.6,NA,19.2,32.2,5.79,NA,NA
"9",9,"Wood Lab Pond","2022-05-27 20:40:55 EDT","2022-05-27","Brandon Hoenig,Emily Jolly,Shane Robertson",NA,NA,NA,NA,NA,NA,0,17.3,NA,17.6,25.9,7.69,NA,NA
"10",10,"Wood Lab Pond","2022-05-28 10:32:57 EDT","2022-05-28","Brandon Hoenig,Emily Jolly,Shane Robertson",NA,NA,NA,NA,NA,NA,0.3,16.1,NA,15.8,24.9,7.27,NA,NA
