"","X.1","X","fulcrum_id","created_at","observer","observer_other","date","location","start_time","end_time","survey_comments"
"1",1,1,"9cc76039-e43a-4d91-b910-b95a3f0088f0","2022-05-20 13:35:54 EDT","Emily Jolly",NA,"2022-05-20","Admin Pond","13:28:00","14:37:00",NA
"2",2,2,"8322e922-3871-46bf-a73c-2fc4985876ba","2022-05-19 19:31:25 EDT","Emily Jolly",NA,"2022-05-19","Admin Pond","19:31:00","22:59:00",NA
"3",3,3,"a71aec87-0564-48a0-bd5b-daa7b4564ed5","2022-05-19 21:08:19 EDT","Brandon Hoenig",NA,"2022-05-19","Admin Pond","20:59:00","22:59:00",NA
"4",4,4,"4d89d571-5852-48bd-b8a8-0478c7febd38","2022-05-20 13:30:37 EDT","Brandon Hoenig",NA,"2022-05-20","Admin Pond","13:29:00","14:37:00",NA
"5",5,5,"c4f73d97-fbfb-4bfd-a2ab-fcecb286a09c","2022-05-26 21:46:24 EDT","Shane Robertson",NA,"2022-05-26","Wood Lab Pond","21:46:00","21:53:00",NA
"6",6,6,"7a980dea-bf83-4def-9194-10c335ae3832","2022-05-26 21:28:30 EDT","Brandon Hoenig",NA,"2022-05-26","Wood Lab Pond","21:17:00","22:57:00",NA
"7",7,7,"3470e58d-a7e7-4780-8cb6-333afaa7fa61","2022-05-26 21:20:05 EDT","Emily Jolly",NA,"2022-05-26","Wood Lab Pond","21:20:00",NA,NA
"8",8,8,"0779b0a9-2c38-4308-8f9e-8acaa28bba41","2022-05-27 21:06:12 EDT","Shane Robertson",NA,"2022-05-27","Wood Lab Pond","21:06:00","22:11:00",NA
"9",9,9,"1a457ca2-d3d6-41c4-a69e-3e14190fd966","2022-05-27 20:57:11 EDT","Emily Jolly",NA,"2022-05-27","Wood Lab Pond","20:57:00","22:09:00",NA
"10",10,10,"e7acbc0b-f947-4246-b907-1d0389906d8e","2022-05-27 20:56:57 EDT","Brandon Hoenig",NA,"2022-05-27","Wood Lab Pond","20:57:00","22:08:00","Rain began at 9:58. Tried to catch more but rain too hard to tell eye shine from water droplet."
"11",11,11,"080fd78e-2010-4b2e-8ffd-ebff0da31da8","2022-05-28 10:47:48 EDT","Emily Jolly",NA,"2022-05-28","Wood Lab Pond","10:47:00","11:43:00",NA
"12",12,12,"57104ba3-a7a4-446f-850a-b687fcd724b7","2022-05-28 10:51:08 EDT","Shane Robertson",NA,"2022-05-28","Wood Lab Pond","10:51:00","11:44:00",NA
"13",13,13,"6c76406f-d2da-4cdd-8239-ae398d8a650d","2022-05-28 10:43:38 EDT","Brandon Hoenig",NA,"2022-05-28","Wood Lab Pond","10:43:00","11:43:00",NA
"14",14,14,"7b822f7f-b74b-4db3-af7e-c9910cfc86b8","2022-06-03 21:25:28 EDT","Brandon Hoenig",NA,"2022-06-03","Phelps Pond","21:25:00","23:02:00",NA
"15",15,15,"2448adff-c955-4817-a758-4f90ba776fb7","2022-06-03 21:25:35 EDT","Emily Jolly",NA,"2022-06-03","Phelps Pond","21:25:00","23:03:00",NA
"16",16,16,"34786ec9-ea57-42ef-abe8-ecb1923fa45e","2022-06-03 21:35:53 EDT","Shane Robertson",NA,"2022-06-03","Phelps Pond","21:35:00","23:10:00",NA
"17",17,17,"a5e89567-64b4-4e4e-9fff-47ab20dc9cf9","2022-06-04 21:09:38 EDT","Brandon Hoenig",NA,"2022-06-04","Phelps Pond","21:09:00","22:57:00",NA
"18",18,18,"581137d2-2a8f-49d2-aef0-857482ed695e","2022-06-04 21:09:51 EDT","Shane Robertson",NA,"2022-06-04","Phelps Pond","21:10:00","22:58:00",NA
"19",19,19,"0428db50-7fcd-4a75-a118-969172dd4c69","2022-06-04 21:09:39 EDT","Emily Jolly",NA,"2022-06-04","Phelps Pond","21:09:00","22:57:00",NA
"20",20,20,"5912bc58-9ead-48aa-9a5c-f236f7acf0e3","2022-06-05 10:40:25 EDT","Emily Jolly",NA,"2022-06-05","Phelps Pond","10:40:00","11:20:00","Conifer forests"
"21",21,21,"3e67099f-d43b-4546-8383-f106c2d4bf46","2022-06-05 11:20:20 EDT","Shane Robertson",NA,"2022-06-05","Phelps Pond","10:48:00","11:20:00","Coniferous leaf litter. No captures"
"22",22,22,"4befc5ba-ee56-431b-b6cd-767ada39ae95","2022-06-05 10:48:47 EDT","Brandon Hoenig",NA,"2022-06-05","Phelps Pond","10:48:00","11:19:00","Conifer forest. Walked entire area with no sightings.  Frogs skiddish and jumped into water when 15+ feet away."
"23",23,23,"97f1677a-f2aa-4aac-9ec5-6a724170a3dd","2022-06-07 21:03:47 EDT","Brandon Hoenig",NA,"2022-06-07","RV Pond","21:25:00","23:07:00",NA
"24",24,24,"3e443347-f233-4748-9595-6c9d63f7ab76","2022-06-07 21:14:11 EDT","Myah Madril",NA,"2022-06-07","RV Pond","21:22:00","02:12:00",NA
"25",25,25,"61724611-2e12-4b06-b616-4ef5c0f365fa","2022-06-07 21:15:19 EDT","Emily Jolly",NA,"2022-06-07","RV Pond","21:22:00","23:22:00",NA
"26",26,26,"d1ea6d9b-d4c4-49c6-a702-1f4e04f715df","2022-06-08 21:11:23 EDT","Emily Jolly",NA,"2022-06-08","RV Pond","21:11:00","22:02:00",NA
"27",27,27,"8c55caf3-1b46-4a07-978c-a14f3c218aad","2022-06-08 21:10:21 EDT","Brandon Hoenig",NA,"2022-06-08","RV Pond","21:11:00","22:02:00","Stopped bc heard thunder"
"28",28,28,"6ea9b638-35c3-4037-9c8e-ceac2a1b86af","2022-06-09 10:41:53 EDT","Sydney Dawson",NA,"2022-06-09","RV Pond","10:42:00","11:07:00","Walked perimeter of pond; no salamanders sited; frogs jumped int water upon approach"
"29",29,29,"150f01ae-99cf-4426-9f1b-45b95142991f","2022-06-09 10:33:54 EDT","Emily Jolly",NA,"2022-06-09","RV Pond","10:34:00","11:07:00","Walked parameter of pond, no salamanders sighted,  frogs into water upon approach"
"30",30,30,"51f233ba-6e22-4a55-b538-c401e39bd1bd","2022-06-09 10:33:57 EDT","Myah Madril",NA,"2022-06-09","RV Pond","10:34:00","11:07:00","walked perimeter of pond, no salamanders spotted, frogs into water upon approach"
"31",31,31,"1f6f8ab2-c0ad-4cf7-8317-c73ba5aacd7e","2022-06-09 10:42:23 EDT","Brandon Hoenig",NA,"2022-06-09","RV Pond","10:42:00","11:07:00","Walked perimeter of pond. No salamdera sighted. Frogs into water upon approach."
"32",32,32,"89cddac1-e088-4066-9f9b-b4ea808a4292","2022-06-08 21:11:41 EDT","Myah Madril",NA,"2022-06-08","RV Pond","21:11:00","22:03:00",NA
