"","X.1","X","fulcrum_id","created_at","fulcrum_parent_id","bag_id","species_capture","species_capture_other","capture_type","capture_type_other","capture_mark_recapture","life_stage","life_stage_other","sex","sex_other","snout_vent_length","body_and_bag_mass","bag_mass","body_mass","bd_swab_tube_id","bacterial_swab_tube_id","mucusome_id","amp_id_1","amp_id_2","amp_id_3","amp_id_4","antibody_id_1","antibody_id_2","antibody_id_3","antibody_id_4","toe_clip_tube_id"
"1",1,1,"4933a997-f8c6-4bd7-9c3a-29a4a28bfaa5","2022-05-06 03:11:57 UTC","81918035-8727-4979-ae70-dd9eb29b3676",NA,"Rana catesbeiana",NA,"New",NA,NA,"Adult",NA,"Female",NA,53.9,19.5,7.2,12.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,2,"1c8965b5-0bf7-45c5-9cab-2f9a4d83584b","2022-05-06 03:20:19 UTC","81918035-8727-4979-ae70-dd9eb29b3676",NA,"Rana catesbeiana",NA,"New",NA,NA,"Adult",NA,"Female",NA,135.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,3,"143297fb-eecd-4c0d-a6cd-8d202c394cf5","2022-05-06 03:28:19 UTC","81918035-8727-4979-ae70-dd9eb29b3676",NA,"Rana clamitans",NA,NA,NA,NA,"Adult",NA,"Female",NA,74.6,49.5,10,39.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,4,"e6f58b1b-ec12-44e8-96b7-fc7b0dd89f88","2022-05-06 03:34:08 UTC","81918035-8727-4979-ae70-dd9eb29b3676",NA,"Rana clamitans",NA,NA,NA,NA,"Adult",NA,"Female",NA,65.5,30,8.3,21.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,5,"4bac144c-bad4-420c-be16-8224d1deba01","2022-05-06 03:39:31 UTC","81918035-8727-4979-ae70-dd9eb29b3676",NA,"Rana clamitans",NA,NA,NA,NA,NA,NA,"Female",NA,53.8,19.5,7.3,12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,6,"c16789c8-7663-40a8-bb07-3a5a66bb41dc","2022-05-06 03:44:24 UTC","81918035-8727-4979-ae70-dd9eb29b3676",NA,"Rana catesbeiana",NA,"New",NA,NA,"Adult",NA,"Female",NA,84.4,72,10.2,61.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,7,"a95c9939-9497-4a40-a4cb-61e1d2388da6","2022-05-06 03:52:49 UTC","81918035-8727-4979-ae70-dd9eb29b3676",NA,"Rana clamitans",NA,NA,NA,NA,"Adult",NA,"Male",NA,77,61,10.2,50.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,8,"9f29312f-80b9-40ed-a26c-13fdc9ffe29c","2022-05-06 03:57:43 UTC","81918035-8727-4979-ae70-dd9eb29b3676",NA,"Rana clamitans",NA,NA,NA,NA,"Adult",NA,"Female",NA,67,38,9.8,28.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,9,"dee5814f-c7b1-4ae2-9278-2d4f642d25c2","2022-05-06 04:02:24 UTC","81918035-8727-4979-ae70-dd9eb29b3676",NA,"Rana clamitans",NA,NA,NA,NA,NA,NA,"Female",NA,59.5,26,6.6,19.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,10,"c03ba092-406b-430c-bfa6-915c1714eb26","2022-05-06 04:07:55 UTC","81918035-8727-4979-ae70-dd9eb29b3676",NA,"Rana catesbeiana",NA,"New",NA,NA,"Adult",NA,"Male",NA,60.4,27.5,6.8,20.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",11,11,"e1685b88-7c49-401f-b317-f7ac53cbd522","2022-05-06 04:13:54 UTC","81918035-8727-4979-ae70-dd9eb29b3676",NA,"Rana clamitans",NA,NA,NA,NA,"Adult",NA,"Male",NA,73.9,53,8.6,44.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",12,12,"f7b76a20-3c87-4bcf-98b9-282aef63c0bf","2022-05-06 04:18:30 UTC","81918035-8727-4979-ae70-dd9eb29b3676",NA,"Pseudacris crucifer",NA,"New",NA,NA,"Adult",NA,"Male",NA,28.8,7.6,6.2,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,13,"22f279ac-4cca-40d3-bbc2-ad2befb1be2f","2022-05-06 04:26:09 UTC","81918035-8727-4979-ae70-dd9eb29b3676",NA,"Pseudacris crucifer",NA,"New",NA,NA,"Adult",NA,"Male",NA,28,7.3,6,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,14,"f9394cd0-4ea9-4667-94c0-c79c5631249d","2022-05-06 04:30:47 UTC","81918035-8727-4979-ae70-dd9eb29b3676",NA,"Pseudacris crucifer",NA,"New",NA,NA,"Adult",NA,"Male",NA,27.2,7.2,6,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",15,15,"e0bd653e-09f4-4922-8e31-7c0d16b59e1e","2022-05-06 04:35:45 UTC","81918035-8727-4979-ae70-dd9eb29b3676",NA,"Pseudacris crucifer",NA,"New",NA,NA,"Adult",NA,"Male",NA,30.7,7.9,6.2,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",16,16,"64c282ce-8b0b-437c-8265-dd9b567b5c73","2022-05-12 03:05:23 UTC","3334ebd7-54c0-4e18-a80c-abb313f185f1",NA,"Pseudacris crucifer",NA,"New",NA,NA,"Adult",NA,"Male",NA,24.8,3.5,2.5,1,"2022-05-11-admin-pscr1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",17,17,"bde5161f-9714-404f-a2d1-b6af95f09a13","2022-05-12 03:16:22 UTC","3334ebd7-54c0-4e18-a80c-abb313f185f1",NA,"Rana catesbeiana",NA,"New",NA,NA,"Juvenile",NA,"Unknown",NA,49.6,15,3.6,11.4,"2022-05-11-admin-raca2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",18,18,"5dd5a405-f929-4968-ad9d-a7a5c24c4383","2022-05-12 03:21:37 UTC","3334ebd7-54c0-4e18-a80c-abb313f185f1",NA,"Rana catesbeiana",NA,"New",NA,NA,"Adult",NA,"Female",NA,78.2,58,16.5,41.5,"2022-05-11-admin-raca3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",19,19,"2b83d388-4dad-4298-9e53-d196955666a2","2022-05-12 03:27:20 UTC","3334ebd7-54c0-4e18-a80c-abb313f185f1",NA,"Pseudacris crucifer",NA,"New",NA,NA,"Adult",NA,"Male",NA,29,3.7,2.4,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",20,20,"c4070a21-c863-4dd5-99d9-156d96499be7","2022-05-12 03:31:58 UTC","3334ebd7-54c0-4e18-a80c-abb313f185f1",NA,"Pseudacris crucifer",NA,"New",NA,NA,"Adult",NA,"Male",NA,26,3.6,2.5,1.1,"2022-05-11-admin-pscr-5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",21,21,"35d09a19-d070-414d-93d4-9e82c8f6f23f","2022-05-12 03:36:15 UTC","3334ebd7-54c0-4e18-a80c-abb313f185f1",NA,"Pseudacris crucifer",NA,"New",NA,NA,"Adult",NA,"Male",NA,24.4,3.5,NA,NA,"2022-05-11-admin-pscr6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",22,22,"c7f89c9b-f5e7-4865-b240-32a6006b2e03","2022-05-12 03:41:03 UTC","3334ebd7-54c0-4e18-a80c-abb313f185f1",NA,"Rana catesbeiana",NA,"New",NA,NA,"Juvenile",NA,"Unknown",NA,61.6,23.1,3.7,19.4,"2022-05-11-admin-raca7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
